status,reported,description,address,type,occurred
CLOSED,2019-09-13 05:14:00+00:00,Officer took a report of an assault.,MATHER HOUSE TOWER 93 BANKS ST CAMBRIDGE,ASSAULT REPORT,9/13/19 2:30 AM - 5:00 AM
CLOSED,2020-02-08 00:24:00+00:00,Officers dispatched to a report of a noise complaint. Officers arrived and reported that the occupants were dispersing for the evening.,HARVARD ADVOCATE 21 SOUTH ST CAMBRIDGE,NOISE COMPLAINT,2/8/20 0:24 AM
OPEN,2019-05-13 09:37:00+00:00,"Officer dispatched to take a report of a stolen pink children's bicycle valued at $100.00 and two stolen lamps valued at  
$75.00.",1 WESTERN AVE,THEFT REPORT                       ,"5/9/19 - 4:00 PM
5/10/19 - 9:30 PM"
CLOSED,2019-06-02 20:24:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,CONTINUUM 219 WESTERN AVE ALLSTON,MOTOR VEHICLE ACCIDENT,6/2/19 8:15 PM - 8:35 PM
OPEN,2019-12-17 14:08:00+00:00,Officer took a report of a threat.,LITTAUER HKS 79 JFK ST CAMBRIDGE,THREAT(S),12/17/19 2:00 PM - 2:30 PM
CLOSED,2020-02-22 02:13:00+00:00,Officer dispatched to a report of several individuals climbing on the statue. Officer arrived and reported that the        individuals were leaving the area upon arrival.,JOHN HARVARD STATUE 1 HARVARD YARD CAMBRIDGE,SUSPICIOUS ACTIVITY,2/22/20 2:13 AM
OPEN,2020-02-05 11:24:00+00:00,Officer dispatched to take a report of a stolen unattended and unsecured black North Face coat valued at $450.00.,SHAD HALL 70 N HARVARD ST ALLSTON,THEFT REPORT,2/5/20 10:00 AM - 11:05 AM
CLOSED,2019-05-26 21:35:00+00:00,Officer dispatched to take a report of a stolen silver iPhone 6 valued at $150.00.,ATHLETICS - CUMNOCK FIELD 2 79 N HARVARD ST ALLSTON,THEFT REPORT,"5/26/19
9:15 PM - 9:45 PM"
CLOSED,2019-07-13 13:59:00+00:00,Officers dispatched to a report of suspicious activity. Officers arrived and reported that all was in order.,HARVARD YARD - SEVER GATE 56 HARVARD YARD CAMBRIDGE,SUSPICIOUS ACTIVITY,7/13/19 2:02 PM - 2:45 PM
CLOSED,2019-05-04 09:37:00+00:00,Officer dispatched to a report of an active alarm clock. Officer arrived and reported that the area was quiet.,VANDERBILT HALL 107 AVE LOUIS PASTEUR BOSTON,NOISE COMPLAINT,"5/4/19
9:35 AM - 10:00 AM"
ARREST,2019-06-26 10:33:00+00:00,"Officer while on patrol observed an individual in the building who had an active trespass warning for all Harvard          University property. Officer approached the individual and conducted a field interview. During the field interview, the    individual engaged in uncooperative and agitated behavior. The individual was run for wants/warrants with positive results for an active warrant and positive results for an active trespass warning for all Harvard University property. The         individual was then informed that they were being placed under arrest. At this time, the individual began to yell and      actively resist the arrest. Ultimately, the individual was placed under arrest and transported to the Harvard University   Police Department for booking.                                                                                                                                                                                                                        Name: Rivera, Kristopher                                                                                                   Age: 21                                                                                                                    Address: 402 Massachusetts Ave, Cambridge, Massachusetts 02138                                                             Charge(s): Trespassing                                                                                                     Resisting Arrest                                                                                                           Warrant Services",SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,TRESPASSING,6/26/19 10:33 AM - 11:03 AM
CLOSED,2020-02-22 02:28:00+00:00,Officer took a report of a noise complaint.,HARVARD AT TRILOGY 170 BROOKLINE AVE BOSTON,NOISE COMPLAINT,2/22/20 2:28 AM - 3:00 AM
CLOSED,2020-01-26 11:52:00+00:00,"Officers dispatched to a report of an individual possibly needing assistance. Officers arrived, located the individual,    and conducted a field interview. State Police arrived on scene shortly thereafter and took jurisdiction over the incident.",JFK PARK 968 MEMORIAL DR CAMBRIDGE,ASSIST STATE POLICE,1/26/20 11:58 AM
CLOSED,2019-07-18 07:50:00+00:00,"Officers dispatched to a report of two unwanted guests sleeping near the building. Officers arrived, located one           individual, and sent them on their way.",8 STORY STCAMBRIDGE,UNWANTED GUEST,7/18/19 7:50 AM
OPEN,2019-05-05 17:52:00+00:00,Officers dispatched to a report of an indecent assault.,HARVARD YARD 1 PEABODY ST CAMBRIDGE,INDECENT ASSAULT,"5/5/19
5:45 PM - 6:15 PM"
OPEN,2019-09-07 20:05:00+00:00,"Officer dispatched to take a report of a stolen unattended and unsecured black Dolce and Gabana backpack valued at         $1,200.00, $800.00 in U.S. currency, a Louis Vuitton wristlet valued at $900.00, Dior sun glasses valued at $200.00 and    recovered stolen prescription eye glasses, identification cards, and debit/credit cards.",SMITH CAMPUS CENTER - ARCADE 1350 MASSACHUSETTS AVE CAMBRIDGE,THEFT REPORT,9/7/19 7:25 PM - 7:40 PM
OPEN,2019-05-03 19:37:00+00:00,Officer dispatched to take a report of a stolen black Fjallraven jacket valued at $500.00.,ALDRICH HALL 35 HARVARD WAY ALLSTON,THEFT REPORT,"4/24/19 - 12:00 PM
4/29/19 - 12:00 PM"
CLOSED,2019-03-21 21:00:00+00:00,"Officers dispatched to a report of several unwanted guests yelling and smoking marijuana in the alleyway near the         
building. Officers arrived and reported individuals gone on arrival.",UNIVERSITY LIBRARY 90 MT AUBURN ST CAMBRIDGE,UNWANTED GUEST,"3/21/19
9:00 PM"
CLOSED,2019-06-19 15:36:00+00:00,Officer dispatched to take a report of a stolen bicycle seat valued at $15.00. The reporting individual informed the       officer that their bicycle seat was not stolen on Harvard University property.,HARVARD KENNEDY SCHOOL - 124 M 124 MT AUBURN ST CAMBRIDGE,ASSIST CAMBRIDGE POLICE,6/18/19 - 5:00 PM 6/19/19 - 1:00 PM
OPEN,2019-06-11 09:31:00+00:00,"Officer dispatched to take a report of a stolen unattended and unsecured wallet valued at $30.00 that contained            identification cards, and credit and debit cards.",LEVERETT HOUSE DINING HALL 8 MILL ST CAMBRIDGE,THEFT REPORT,6/10/19 - 3:00 PM 6/11/19 - 8:00 AM
OPEN,2019-04-02 10:33:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,BUSINESS SCHOOL LOT 112 WESTERN AVE ALLSTON,MOTOR VEHICLE ACCIDENT,"4/1/19
8:15 AM - 5:00 PM"
OPEN,2019-07-18 12:18:00+00:00,"Officer dispatched to take a report of a stolen Apple Macbook laptop valued at $1,300.00.",SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,THEFT REPORT,7/17/19 - 1:00 PM 7/18/19 - 12:15 PM
CLOSED,2019-03-27 21:57:00+00:00,Officer assisted Cambridge Police with a street closure due to a motor vehicle accident in the area.,HARVARD SQUARE 1 HARVARD SQ CAMBRIDGE,ASSIST CAMBRIDGE POLICE,"3/27/19
9:57 PM"
CLOSED,2019-07-16 12:04:00+00:00,"Officers dispatched to a report of an individual causing a disturbance by yelling in front of the building. Officers       arrived, located the individual, and conducted a field interview.  During the field interview, the individual refused to   provide identifying information as well as engaged in uncooperative behavior. Following the field interview, the           individual was sent on their way.                                                                                                                                                                                                                     Update 7/19/19: Upon further review, this incident has been reclassified from a Disturbance to Field Interview.",SPH - 718 HUNTINGTON 718 HUNTINGTON AVE BOSTON,FIELD INTERVIEW,7/16/19 12:00 PM - 12:50 PM
CLOSED,2019-07-15 16:15:00+00:00,"Officer dispatched to take a report of a stolen Nikon camera valued at $1,200.00 and a Sigma camera lens valued at        
1,000.00.",DENTAL SCHOOL 188 LONGWOOD AVE BOSTON,THEFT REPORT,"7/10/19 - 5:00 PM
7/15/19 - 8:00 AM"
CLOSED,2019-06-09 17:11:00+00:00,"Officer dispatched to take a report of a stolen gray Jamis Coda bicycle valued at $1000.00. The reporting individual      
informed the officer their cable lock was cut and left at the scene.",QUINCY HOUSE A - MATHER HALL 58 PLYMPTON ST CAMBRIDGE,THEFT REPORT,"6/2/19 - 12:00 PM
6/8/19 - 5:00 PM"
CLOSED,2019-06-26 16:53:00+00:00,"Officer dispatched to a report of two individuals attempting to forcibly open a storage area. Officer arrived and reported that the individuals immediately fled the area upon their arrival. Upon review, officer reported that the storage area     remained locked and that the individuals did not appear to gain access.",ATHLETICS - STADIUM 79 N HARVARD ST ALLSTON,THEFT REPORT,6/26/19 4:50 PM - 5:10 PM
OPEN,2019-10-11 12:17:00+00:00,Officer dispatched to take a report of a previous unwanted guest.,BIOLOGY LAB 16 DIVINITY AVE CAMBRIDGE,UNWANTED GUEST,10/11/19 9:45 AM - 12:00 PM
CLOSED,2019-07-30 10:06:00+00:00,Officer dispatched to take a report of a threat.,SCHLESINGER LIBRARY 3 JAMES ST CAMBRIDGE,THREAT(S),7/30/19 9:30 AM - 10:00 AM
CLOSED,2020-02-27 04:54:00+00:00,"Officer dispatched to a report of an individual sleeping in the building. Officer arrived, located the individual, and     sent them on their way.",LAMONT LIBRARY 11 QUINCY ST CAMBRIDGE,UNWANTED GUEST,2/27/20 4:54 AM
CLOSED,2019-05-08 11:24:00+00:00,Officer while on a paid detail took a report of a motor vehicle accident with no personal injuries.,LONGWOOD LOT 200 LONGWOOD AVE BOSTON,MOTOR VEHICLE ACCIDENT,"5/8/19
11:23 AM - 11:40 AM"
OPEN,2019-06-24 12:44:00+00:00,Officer dispatched to take a report of annoying emails.,HARVARD EXTENSION SCHOOL - 51 51 BRATTLE ST CAMBRIDGE,ANNOYING CALLS/TEXTS/EMAILS,6/18/19 - 8:32 AM 6/24/19 - 8:00 AM
CLOSED,2019-08-12 16:10:00+00:00,Officers dispatched to a report of an individual causing a disturbance by yelling in the area. Officers arrived and        reported that the individual was gone on arrival. Officers reported that Cambridge Police was on scene and took            jurisdiction over the incident.,DUNSTER ST / MT AUBURN STCAMBRIDGE,ASSIST CAMBRIDGE POLICE,8/12/19 4:10 PM
CLOSED,2020-01-31 17:56:00+00:00,Officers dispatched to a report of an individual engaged in suspicious activity. Officers arrived and reported that the    individual was gone on arrival.,JEFFERSON LAB 17 OXFORD ST CAMBRIDGE,SUSPICIOUS ACTIVITY,1/31/20 5:56 PM
CLOSED,2019-06-07 09:10:00+00:00,Officer dispatched to a report of a motor vehicle idling in the area. Officer arrived and reported that the engine to the  motor vehicle was shut off.,BIOLOGY LAB 16 DIVINITY AVE CAMBRIDGE,MOTOR VEHICLE COMPLAINT,6/7/19 9:10 AM
OPEN,2019-11-15 12:13:00+00:00,Officer dispatched to take a report of a stolen gray and pink sweater valued at $25.00.,SPANGLER CENTER 117 WESTERN AVE ALLSTON,THEFT REPORT,11/14/19 - 8:30 PM 11/15/19 - 9:00 AM
CLOSED,2019-06-04 07:29:00+00:00,Officer while on patrol was approached by an individual who inquired if they had any active warrants. The individual was   then run for wants/warrants with negative results and sent on their way.,1380 MASSACHUSETTS AVECAMBRIDGE,ASSIST CAMBRIDGE POLICE,6/4/19 7:30 AM - 7:40 AM
CLOSED,2019-06-01 18:08:00+00:00,Officer dispatched to a report of an individual searching through a dumpster near the building. Officer arrived and        reported individual gone on arrival.,8-10 MOUNT AUBURN STREET 8 MT AUBURN ST CAMBRIDGE,UNWANTED GUEST,6/1/19 6:08 PM
CLOSED,2019-08-16 18:01:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping near the building. Officers arrived, located the individual, and conducted a field interview. The individual was then issued a verbal trespass warning for all Harvard University       property and sent on their way.",AMERICAN REPERTORY THEATER - L 64 BRATTLE ST CAMBRIDGE,TRESPASS WARNING,8/16/19 6:00 PM - 6:20 PM
CLOSED,2019-03-19 18:09:00+00:00,"Officer took a walk-in report of two stolen checks and fraudulent account activity.                                       
                                                                                                                          
Update 4/11/19: Upon further investigation, this incident did not occur in HUPD Jurisdiction. This incident has been      
reclassified from Theft to Assist Other PD and closed pending any further investigation.",HARVARD UNIVERSITY POLICE DEPA 1033-6 MASSACHUSETTS AVE CAMBRIDGE,ASSIST OTHER PD,"3/15/19 - 11:05 AM
3/19/19 - 7:15 PM"
OPEN,2019-09-30 11:53:00+00:00,"Officer dispatched to take a report of a stolen black Specialized Crosstrail bicycle valued at $300.00. The reporting      individual informed the officer that their bicycle was secured to a bike rack with a lock and chain valued at $20.00,      which was also stolen.",1 WESTERN AVEALLSTON,THEFT REPORT,9/27/19 - 9:30 PM 9/29/19 - 9:30 AM
CLOSED,2019-09-15 22:42:00+00:00,Officer while on patrol assisted Cambridge Police with placing an individual under arrest.,MT AUBURN ST / PUTNAM STCAMBRIDGE,ASSIST CAMBRIDGE POLICE,9/15/19 10:39 PM - 11:10 PM
OPEN,2019-04-08 14:18:00+00:00,"Officer dispatched to take a report of a stolen red Diamondback bicycle valued at $300.00 and a cable lock valued at      
$20.00.",MATHER HOUSE B 93 BANKS ST CAMBRIDGE,THEFT REPORT,"4/6/19 - 6:30 PM
4/8/19 - 10:00 AM"
CLOSED,2019-07-04 14:23:00+00:00,Officers dispatched on the report of a screen that had fallen off the window.  Officers checked the unit and determined    all was in order.,TERRY TERRACE - 19 EVERETT 19 EVERETT ST CAMBRIDGE,SUSPICIOUS ACTIVITY,7/4/19 12:00 PM - 2:45 PM
OPEN,2019-12-09 17:08:00+00:00,"Officer dispatched to take a report of a stolen black Diamondback bicycle valued at $600.00 affixed with a light valued at $30.00 and a rack valued at $25.00. The reporting individual informed the officer that their bicycle was secured inside of the bike cage with a cable lock valued at $25.00, which was also stolen.",NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR BOSTON,THEFT REPORT,11/27/19 - 9:00 AM 12/5/19 - 6:00 PM
OPEN,2019-07-13 18:34:00+00:00,Officer dispatched to take a report of threats.,GUND HALL 48 QUINCY ST CAMBRIDGE,THREAT(S),6/26/19 - 8:00 PM 7/13/19 - 3:30 PM
OPEN,2020-02-01 09:22:00+00:00,Officer dispatched to take a report of a stolen unattended and unsecured gray Spyder jacket valued at $600.00.,"QUINCY HOUSE, STONE HALL 3 DEWOLFE ST CAMBRIDGE",THEFT REPORT,2/1/20 0:30 AM - 2:00 AM
CLOSED,2019-06-03 13:38:00+00:00,"Officers dispatched to a report of an unwanted guest in the area. Officers arrived and reported that the individual was   
gone on arrival and that State Police was notified of the incident.",JFK PARK 968 MEMORIAL DR CAMBRIDGE,ASSIST STATE POLICE,"6/3/19
1:38 PM"
CLOSED,2019-06-21 13:00:00+00:00,"Officers dispatched to assist Belmont Police with searching for an individual possibly in the area. Officers arrived and  
searched the area with negative results.",ATHLETICS - STADIUM 79 N HARVARD ST ALLSTON,ASSIST OTHER PD,"6/21/19
12:40 PM - 1:30 PM"
CLOSED,2019-05-31 11:14:00+00:00,"Officers dispatched to a report of an individual following in close proximately to a tour group in the building. Officers 
arrived, located the individual, and conducted a field interview. The individual was run for wants/warrants with negative 
results. Following the field interview, the individual was escorted back to their original party and sent on their way.",GEOLOGY MUSEUM 26 OXFORD ST CAMBRIDGE,FIELD INTERVIEW,"5/31/19
11:00 AM - 12:00 PM"
CLOSED,2019-05-31 02:02:00+00:00,Officer dispatched to take a report of a previous unwanted guest in the building.,ELIOT HOUSE M 101 DUNSTER ST CAMBRIDGE,UNWANTED GUEST,"5/31/19
2:00 AM - 3:00 AM"
OPEN,2019-07-14 15:29:00+00:00,Officer dispatched to take a report of a stolen silver Trek bicycle valued at $400.00. The reporting individual informed   the officer that the bicycle was secured to the bike rack with a U-lock that was damaged and left at the scene.,TATA HALL 53 HARVARD WAY ALLSTON,THEFT REPORT,6/30/19 - 2:30 PM 7/14/19 - 2:30 PM
CLOSED,2019-05-27 12:00:00+00:00,"Officers dispatched to a report of an individual who may not have authorization to be in the building. Officers arrived,  
located the individual, and reported that they did indeed have authorization to be in the building.",CRONKHITE GRADUATE CENTER 84 BRATTLE ST CAMBRIDGE,SUSPICIOUS ACTIVITY,"5/27/19
12:00 PM"
CLOSED,2019-10-15 16:59:00+00:00,Officers dispatched to a report of several unwanted guests near the building. Officers arrived and reported that the       individuals were leaving the area upon their arrival.,TEACHING AND CURRICULUM BUILDI 46 BRATTLE ST CAMBRIDGE,REMOVE GROUP,10/15/19 4:59 PM
CLOSED,2019-06-05 12:08:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,89 FENWOOD RDBOSTON,ASSIST BOSTON POLICE,6/5/19 11:15 AM
OPEN,2019-09-13 09:56:00+00:00,Officer dispatched to take a report of tagging/graffiti done to a sign in the building.,SACKLER MUSEUM 485 BROADWAY CAMBRIDGE,VANDALISM,9/12/19 9:00 AM - 4:15 PM
CLOSED,2019-07-08 20:57:00+00:00,Officer dispatched to take a report of a stolen laundry bag containing clothing and linens valued at $750.,WIGGLESWORTH HALL H 6 HARVARD YARD CAMBRIDGE,THEFT REPORT,7/8/19 9:20 AM - 11:30 AM
OPEN,2020-05-15 15:55:00+00:00,"Officers dispatched to a report of an individual engaged in suspicious activity in the area. Officers arrived, located the",BUSINESS SCHOOL DEANS HOUSE 51 HARVARD WAY ALLSTON,TRESPASS WARNING,5/15/20 11:30 AM - 4:25 PM
CLOSED,2019-06-29 01:49:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping on a bench. Officers arrived, located the individual, and    sent them on their way.",JFK PARK 968 MEMORIAL DR CAMBRIDGE,ASSIST STATE POLICE,6/29/19 1:49 AM
CLOSED,2019-04-11 13:37:00+00:00,"Officer dispatched to take a report of a stolen yellow and gray Nishiki bicycle valued at $350.00. The reporting party    
stated that their bicycle was secured to the bike rack with a cable lock.",DUNSTER HOUSE E 935 MEMORIAL DR CAMBRIDGE,THEFT REPORT,"4/8/19 - 3:00 PM
4/9/19 - 1:00 PM"
CLOSED,2020-05-07 20:49:00+00:00,"Officers dispatched to a report of an individual engaged in suspicious activity in the area. Officer arrived, located the  individual, and reported that Professional Ambulance was notified and that Cambridge Police arrived on scene and took      jurisdiction over the incident. Shortly afterwards, the individual was transported to a medical facility by Pro Ambulance.",1288 MASSACHUSETTS AVECAMBRIDGE,ASSIST CAMBRIDGE POLICE,5/7/20 8:45 PM - 8:49 PM
CLOSED,2019-06-03 17:04:00+00:00,Officer dispatched to a report of the odor of gasoline coming from a motor vehicle inside of the garage. Officer arrived   and reported that Boston Fire was on scene. Officer reported that the motor vehicle was moved outside of the garage and    the building was then ventilated to remove the odor.,NEW RESEARCH BUILDING PARKING 77 AVE LOUIS PASTEUR BOSTON,HAZARDOUS CONDITION,6/3/19 5:00 PM - 5:40 PM
CLOSED,2019-04-28 09:31:00+00:00,"Officer dispatched to a report of an individual engaging in suspicious activity near the ATM. Officer arrived and reported
individual gone on arrival.",SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,SUSPICIOUS ACTIVITY,"4/28/19
9:31 AM"
CLOSED,2019-07-15 17:33:00+00:00,Officers dispatched to a report of an unwanted guest in the building. Officers arrived and reported that the individual    was gone on arrival.,ATHLETICS - BLODGETT POOL 79 N HARVARD ST ALLSTON,UNWANTED GUEST,7/15/19 5:33 PM
CLOSED,2020-02-07 00:01:00+00:00,Officer dispatched to a report of a noise complaint. Officer arrived and reported that the area was quiet upon arrival.,HARVARD ADVOCATE 21 SOUTH ST CAMBRIDGE,NOISE COMPLAINT,2/7/20 0:01 AM
CLOSED,2019-05-09 23:56:00+00:00,"Officer dispatched to a report of several individuals smashing glass in the middle of the road. Officer arrived and       
reported that the individuals were actually breaking apart an ice sculpture and that there was no hazard on the road.",LAMPOON 44 BOW ST CAMBRIDGE,SUSPICIOUS ACTIVITY,"5/9/19
11:56 PM"
OPEN,2019-12-05 08:56:00+00:00,Officer dispatched to take a report of a stolen unattended and unsecured black Calvin Klein wallet valued at $20.00        containing a license and debit/credit cards.,NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR BOSTON,THEFT REPORT,12/4/19 4:30 PM - 5:37 PM
CLOSED,2019-07-05 12:30:00+00:00,Officer dispatched to take a report of tagging/graffiti done to the side of the building.,100 HOLTON ST 100 HOLTON ST ALLSTON,VANDALISM,7/5/19 0:01 AM - 11:50 AM
CLOSED,2019-09-09 20:26:00+00:00,Officer dispatched to take a report of a stolen red Schwinn bicycle valued at $200.00. The reporting individual informed   the officer that their bicycle was secured to the bike rack with U-lock that was left at the scene.,GUTMAN LIBRARY 6 APPIAN WAY CAMBRIDGE,THEFT REPORT,9/9/19 3:50 PM - 8:10 PM
CLOSED,2019-09-30 09:47:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,WARREN ALPERT BUILDING LOADING 200 LONGWOOD AVE BOSTON,MOTOR VEHICLE ACCIDENT,9/30/19 9:35 AM
OPEN,2020-01-13 04:14:00+00:00,Officer dispatched to take a report of a stolen bicycle. Officer reported that the bicycle was secured to the bike rack    with a cable lock that was damaged and left at the scene.,TATA HALL 53 HARVARD WAY ALLSTON,THEFT REPORT,1/13/20 2:59 AM - 3:31 AM
CLOSED,2019-09-30 08:02:00+00:00,"Officer dispatched to a report of an individual causing a disturbance inside of the building. Officer arrived, located the individual outside of the building, and conducted a field interview. During the field interview, the individual was run    for wants/warrants with negative results but did show positive results for an active trespass warning for all Harvard      University property. The individual was reminded of their warning and sent on their way.",WASSERSTEIN HALL 1585 MASSACHUSETTS AVE CAMBRIDGE,FIELD INTERVIEW,9/30/19 8:00 AM - 8:20 AM
CLOSED,2019-08-30 16:15:00+00:00,Officer dispatched to take a report of a previous unwanted guest.,253-269 WESTERN AVE 267 WESTERN AVE ALLSTON,ASSIST BOSTON POLICE,8/16/19 - 2:00 PM 8/30/19 - 2:00 PM
CLOSED,2019-05-09 12:26:00+00:00,"Officer took a walk in report of a stolen dark blue Schwinn Hybrid bicycle valued at $250.00. The reporting individual    
informed the officer that their bicycle was secured to a bike rack with a cable lock valued at $40.00, which was also     
stolen.",GRAYS HALL EAST 7 HARVARD YARD CAMBRIDGE,THEFT REPORT,"5/8/19 - 11:00 AM
5/9/19 - 11:00 AM"
CLOSED,2020-05-04 16:36:00+00:00,"Officers dispatched to a report of a group of individuals skateboarding in the area. Officers arrived, located the group,  and sent them on their way.",HARVARD YARD 1 PEABODY ST CAMBRIDGE,SKATEBOARD/BIKE COMPLAINT,5/4/20 4:36 PM
CLOSED,2019-04-06 23:12:00+00:00,"Officers dispatched to a report of a noise complaint. Officers arrived and reported that the guests were moved inside of  
the building and that the music was turned down.",SPEE CLUB 76 MT AUBURN ST CAMBRIDGE,ASSIST CAMBRIDGE POLICE,"4/6/19
11:10 PM - 11:12 PM"
CLOSED,2020-03-02 09:14:00+00:00,Officers dispatched to a report of an individual with an active trespass warning inside of the building. Officers arrived  and reported that the individual was gone on arrival.,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,UNWANTED GUEST,3/2/20 9:14 AM
CLOSED,2019-10-02 23:26:00+00:00,"Officers dispatched to a report of an unwanted guest acting in an erratic manner in the building.  Officers arrived,       located individual and conducted a field interview. During the fiend interview, it was determined that the individual had  an active trespass warning for the University.  Officers determined that the individual needed to be assessed at a medical facility.  The individual was transported by ambulance to a nearby facility.",LOWELL HOUSE DINING HALL 10 HOLYOKE PL CAMBRIDGE,FIELD INTERVIEW,10/2/19 - 11:26 PM 10/3/19 - 1:05 AM
CLOSED,2019-06-13 08:32:00+00:00,Officers dispatched to take a report of a past assault and battery previously reported to the Cambridge Police Department.,175 N HARVARD ST 175 N HARVARD ST ALLSTON,ASSIST CAMBRIDGE POLICE,6/13/19 8:00 AM - 8:45 AM
OPEN,2019-11-16 19:26:00+00:00,"Officers dispatched to a report of an individual engaged in suspicious activity. Officers arrived, searched the area, and  reported that the individual was gone on arrival.",WELD HALL 3 HARVARD YARD CAMBRIDGE,SUSPICIOUS ACTIVITY,11/16/19 7:25 PM - 8:10 PM
CLOSED,2020-02-13 15:15:00+00:00,"Officers dispatched to a report of an individual in the building who may not have authorization to be there. Officers      approached the individual and conducted a field interview. After the field interview, the individual was sent on their     way.",MORGAN HALL 15 HARVARD WAY ALLSTON,FIELD INTERVIEW,2/13/20 3:00 PM - 3:30 PM
CLOSED,2019-03-20 16:20:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,LONGWOOD LOT 200 LONGWOOD AVE BOSTON,MOTOR VEHICLE ACCIDENT,"3/20/19
11:30 AM - 1:20 PM"
CLOSED,2019-10-20 17:46:00+00:00,"Officer dispatched to a report of a hazardous traffic condition. Officer arrived and reported a high number of motor       vehicles, bicyclists, and pedestrians as well as the resulting traffic related to a sporting event in the area. Officer    reported that they remained on scene to assist the flow of motor vehicles until the high volume of traffic cleared.",ATHLETICS - GATE 8 79 N HARVARD ST ALLSTON,HAZARDOUS CONDITION,10/20/19 4:00 PM - 7:00 PM
CLOSED,2019-06-10 12:30:00+00:00,Officer dispatched to take a report that an individual received several annoying emails.,NORTHWEST SCIENCE BUILDING 52 OXFORD ST CAMBRIDGE,ANNOYING CALLS/TEXTS/EMAILS,6/10/19 2:24 AM - 12:30 PM
CLOSED,2019-10-22 07:48:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the alleyway behind the building. Officers arrived,       located the individual, and sent them on their way.",8 STORY STCAMBRIDGE,UNWANTED GUEST,10/22/19 7:48 AM
CLOSED,2019-06-03 07:38:00+00:00,"Officers dispatched to a report of an unwanted guest attempting to sleep in the alleyway behind the building. Officers     arrived, located the individual, and sent them on their way.",14 STORY STCAMBRIDGE,UNWANTED GUEST,6/3/19 7:38 AM
CLOSED,2020-06-01 17:42:00+00:00,Officer dispatched to a report of an unwanted guest. Officer arrived and reported that Cambridge Police was already on     scene. Officer reported that the individual was sent on their way and that all was well.,5 COWPERTHWAITE STCAMBRIDGE,ASSIST CAMBRIDGE POLICE,6/1/20 10:00 AM - 3:30 PM
CLOSED,2020-01-07 12:17:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the building. Officers arrived, located the individual,   and sent them on their way.",SMITH CAMPUS CENTER - COMMON S 1350 MASSACHUSETTS AVE CAMBRIDGE,UNWANTED GUEST,1/7/20 12:17 PM
CLOSED,2019-07-31 08:11:00+00:00,"Officers dispatched to a report of three unwanted guests sleeping in the alleyway. Officers arrived, located the           individuals, and sent them on their way.",LAW SCHOOL PROJECT OFFICES 125 MT AUBURN ST CAMBRIDGE,UNWANTED GUEST,7/31/19 8:11 AM
CLOSED,2019-08-07 18:58:00+00:00,Officer dispatched to a report of an individual engaged in suspicious behavior in front of the building. Officer arrived   and reported that the individual was gone on arrival.,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,SUSPICIOUS ACTIVITY,8/7/19 6:58 PM
OPEN,2019-05-15 15:22:00+00:00,Officer dispatched to take a report of an assault and battery.,JOHNSTON GATE 1465 MASSACHUSETTS AVE CAMBRIDGE,ASSAULT REPORT,"5/15/19
3:17 PM - 3:50 PM"
OPEN,2020-02-18 14:20:00+00:00,Officer dispatched to take a report of a stolen unattended and improperly secured black bicycle valued at $200.00.,SHAD HALL 70 N HARVARD ST ALLSTON,THEFT REPORT,2/18/20 1:00 PM - 2:20 PM
OPEN,2019-10-28 15:29:00+00:00,"Officer dispatched to take a report of a stolen black Super 73 Electric bicycle valued at $1,920.00. The reporting         individual informed the officer that their bicycle was secured to a bike rack with a cable lock valued at $80.00, which    was also stolen.",BAKER- BLOOMBERG LIBRARY 25 HARVARD WAY ALLSTON,THEFT REPORT,10/17/19 - 9:50 AM 10/28/19 - 11:10 AM
CLOSED,2019-07-31 17:50:00+00:00,Officer while on patrol received a report that an individual was yelling in the area. Officer located the individual and   reported that all was in order and that the individual was simply voicing their opinion about the weather conditions.,ATHLETICS - SOFTBALL FIELD 79 N HARVARD ST ALLSTON,UNWANTED GUEST,7/31/19 5:50 PM
OPEN,2020-05-18 15:03:00+00:00,Officer took a report of annoying phone calls.,HARVARD UNIVERSITY HEALTH SERV 75 MT AUBURN ST CAMBRIDGE,ANNOYING CALLS/TEXTS/EMAILS,5/18/20 2:45 PM - 3:37 PM
